profileName,beerName_1,beerId_1,beerABV_1,beerStyle_1,reviewText_1,appearanceRate_1,aromaRate_1,palateRate_1,tasteRate_1,beerName_2,beerId_2,beerABV_2,beerStyle_2,reviewText_2,appearanceRate_2,aromaRate_2,palateRate_2,tasteRate_2,appearance,aroma,palate,taste
86montess,Bass Pale Ale,811,5,English Pale Ale,"Ok, so it's my favorite beer. I've had some of the world's best, but Bass' flavor is second to none. The only complaint I have is that it is a little too watered down. If it was a little stronger, it would be too good to be true. Perfect color. Perfect ""roasted"" flavor, even if you have to concentrate on it. They say it's not the same beer Napoleon cherished, but so what, I love it to death.",5.0,4.5,5.0,4.5,World Wide Stout,2392,18,American Double / Imperial Stout,"Easily the most complex flavor I've tasted in a beer. Spicy, nutty, fruity, and of course, ultra-alcoholic. I'm not sure how to rate it's drinkability; while it is one of the tastiest brews I've had, the alcohol content deters you quite a bit. I just couldn't get into that ""wine drinking"" state of mind. A perfect after dinner drink, or perhaps it should be had as the main course. Either way, it is a truly amazing drink. It belongs in the Louvre.",4.0,5.0,4.0,5.0,,,,0.0
86montess,Bass Pale Ale,811,5,English Pale Ale,"Ok, so it's my favorite beer. I've had some of the world's best, but Bass' flavor is second to none. The only complaint I have is that it is a little too watered down. If it was a little stronger, it would be too good to be true. Perfect color. Perfect ""roasted"" flavor, even if you have to concentrate on it. They say it's not the same beer Napoleon cherished, but so what, I love it to death.",5.0,4.5,5.0,4.5,Trappistes Rochefort 10,645,2025-03-11 00:00:00,Quadrupel (Quad),"What else can be said? I was told that this is the closest I can get to Westvleteren 12 without actually having it, and if so, I'm really looking forward to it. Manly head and thick mouthfeel. The flavor is inexplicable, so I'll let others try. You pour it, let the head settle a bit, take a spicy sip, stare down into it and say... ""holy shit."" Thank you, Belgium.",4.5,5.0,4.5,5.0,0.0,,,1.0
86montess,Samuel Smith's Imperial Stout,782,7,Russian Imperial Stout,"I'm not exactly sure who Samuel Smith was, but if he didn't achieve sainthood, I'm perplexed. This brewery can't go wrong, and Imperial Stout is certainly its flagship. This is everything imperial stouts aspire to be, and it's why I put all my faith in the English when it comes to beer. This was the one that slapped me in the face and opened my eyes to all the others. Bold yet balanced taste with a perfect lace, this is the quintessential stout. A bitter coffee taste lays the foundation while a gentle sweetness oversees. While there are ""better crafted"" beers out there, nothing is better-rounded than Sam Smith's Imperial Stout. Realizing the bottle was clear after perceiving it as amber ranks way up there in terms of the coolest moments of my life. If I was an old man, I'd want Samuel Smith to marry my daughter.",5.0,5.0,5.0,4.5,World Wide Stout,2392,18,American Double / Imperial Stout,"Easily the most complex flavor I've tasted in a beer. Spicy, nutty, fruity, and of course, ultra-alcoholic. I'm not sure how to rate it's drinkability; while it is one of the tastiest brews I've had, the alcohol content deters you quite a bit. I just couldn't get into that ""wine drinking"" state of mind. A perfect after dinner drink, or perhaps it should be had as the main course. Either way, it is a truly amazing drink. It belongs in the Louvre.",4.0,5.0,4.0,5.0,,,,-1.0
86montess,Guinness Draught,754,2025-02-04 00:00:00,Irish Dry Stout,"I'm giving this beer a second chance because I think the first review I wrote for it was unfair. I will stand by my belief that Guinness is entirely overrated, but that's just because John Q. Beer Drinker gets tickled pink at the sight of an opaque brew. The fact is, Guinness is not a bad beer. I've come to expect more from a stout but it's got a decent flavor and a robust yet refreshing mouthfeel. HOWEVER, the only reason it should be so famous is because the brewery has such an interesting history.",4.5,3.0,3.5,3.0,World Wide Stout,2392,18,American Double / Imperial Stout,"Easily the most complex flavor I've tasted in a beer. Spicy, nutty, fruity, and of course, ultra-alcoholic. I'm not sure how to rate it's drinkability; while it is one of the tastiest brews I've had, the alcohol content deters you quite a bit. I just couldn't get into that ""wine drinking"" state of mind. A perfect after dinner drink, or perhaps it should be had as the main course. Either way, it is a truly amazing drink. It belongs in the Louvre.",4.0,5.0,4.0,5.0,,,,-1.0
86montess,Guinness Draught,754,2025-02-04 00:00:00,Irish Dry Stout,"I'm giving this beer a second chance because I think the first review I wrote for it was unfair. I will stand by my belief that Guinness is entirely overrated, but that's just because John Q. Beer Drinker gets tickled pink at the sight of an opaque brew. The fact is, Guinness is not a bad beer. I've come to expect more from a stout but it's got a decent flavor and a robust yet refreshing mouthfeel. HOWEVER, the only reason it should be so famous is because the brewery has such an interesting history.",4.5,3.0,3.5,3.0,Samuel Smith's Imperial Stout,782,7,Russian Imperial Stout,"I'm not exactly sure who Samuel Smith was, but if he didn't achieve sainthood, I'm perplexed. This brewery can't go wrong, and Imperial Stout is certainly its flagship. This is everything imperial stouts aspire to be, and it's why I put all my faith in the English when it comes to beer. This was the one that slapped me in the face and opened my eyes to all the others. Bold yet balanced taste with a perfect lace, this is the quintessential stout. A bitter coffee taste lays the foundation while a gentle sweetness oversees. While there are ""better crafted"" beers out there, nothing is better-rounded than Sam Smith's Imperial Stout. Realizing the bottle was clear after perceiving it as amber ranks way up there in terms of the coolest moments of my life. If I was an old man, I'd want Samuel Smith to marry my daughter.",5.0,5.0,5.0,4.5,0.0,,,0.0
86montess,Guinness Draught,754,2025-02-04 00:00:00,Irish Dry Stout,"I'm giving this beer a second chance because I think the first review I wrote for it was unfair. I will stand by my belief that Guinness is entirely overrated, but that's just because John Q. Beer Drinker gets tickled pink at the sight of an opaque brew. The fact is, Guinness is not a bad beer. I've come to expect more from a stout but it's got a decent flavor and a robust yet refreshing mouthfeel. HOWEVER, the only reason it should be so famous is because the brewery has such an interesting history.",4.5,3.0,3.5,3.0,Trappistes Rochefort 10,645,2025-03-11 00:00:00,Quadrupel (Quad),"What else can be said? I was told that this is the closest I can get to Westvleteren 12 without actually having it, and if so, I'm really looking forward to it. Manly head and thick mouthfeel. The flavor is inexplicable, so I'll let others try. You pour it, let the head settle a bit, take a spicy sip, stare down into it and say... ""holy shit."" Thank you, Belgium.",4.5,5.0,4.5,5.0,0.0,,0.0,1.0
86montess,Trappistes Rochefort 10,645,2025-03-11 00:00:00,Quadrupel (Quad),"What else can be said? I was told that this is the closest I can get to Westvleteren 12 without actually having it, and if so, I'm really looking forward to it. Manly head and thick mouthfeel. The flavor is inexplicable, so I'll let others try. You pour it, let the head settle a bit, take a spicy sip, stare down into it and say... ""holy shit."" Thank you, Belgium.",4.5,5.0,4.5,5.0,World Wide Stout,2392,18,American Double / Imperial Stout,"Easily the most complex flavor I've tasted in a beer. Spicy, nutty, fruity, and of course, ultra-alcoholic. I'm not sure how to rate it's drinkability; while it is one of the tastiest brews I've had, the alcohol content deters you quite a bit. I just couldn't get into that ""wine drinking"" state of mind. A perfect after dinner drink, or perhaps it should be had as the main course. Either way, it is a truly amazing drink. It belongs in the Louvre.",4.0,5.0,4.0,5.0,,,,-1.0
86montess,Trappistes Rochefort 10,645,2025-03-11 00:00:00,Quadrupel (Quad),"What else can be said? I was told that this is the closest I can get to Westvleteren 12 without actually having it, and if so, I'm really looking forward to it. Manly head and thick mouthfeel. The flavor is inexplicable, so I'll let others try. You pour it, let the head settle a bit, take a spicy sip, stare down into it and say... ""holy shit."" Thank you, Belgium.",4.5,5.0,4.5,5.0,Samuel Smith's Imperial Stout,782,7,Russian Imperial Stout,"I'm not exactly sure who Samuel Smith was, but if he didn't achieve sainthood, I'm perplexed. This brewery can't go wrong, and Imperial Stout is certainly its flagship. This is everything imperial stouts aspire to be, and it's why I put all my faith in the English when it comes to beer. This was the one that slapped me in the face and opened my eyes to all the others. Bold yet balanced taste with a perfect lace, this is the quintessential stout. A bitter coffee taste lays the foundation while a gentle sweetness oversees. While there are ""better crafted"" beers out there, nothing is better-rounded than Sam Smith's Imperial Stout. Realizing the bottle was clear after perceiving it as amber ranks way up there in terms of the coolest moments of my life. If I was an old man, I'd want Samuel Smith to marry my daughter.",5.0,5.0,5.0,4.5,0.0,,,-1.0
86montess,Bass Pale Ale,811,5,English Pale Ale,"Ok, so it's my favorite beer. I've had some of the world's best, but Bass' flavor is second to none. The only complaint I have is that it is a little too watered down. If it was a little stronger, it would be too good to be true. Perfect color. Perfect ""roasted"" flavor, even if you have to concentrate on it. They say it's not the same beer Napoleon cherished, but so what, I love it to death.",5.0,4.5,5.0,4.5,Samuel Smith's Imperial Stout,782,7,Russian Imperial Stout,"I'm not exactly sure who Samuel Smith was, but if he didn't achieve sainthood, I'm perplexed. This brewery can't go wrong, and Imperial Stout is certainly its flagship. This is everything imperial stouts aspire to be, and it's why I put all my faith in the English when it comes to beer. This was the one that slapped me in the face and opened my eyes to all the others. Bold yet balanced taste with a perfect lace, this is the quintessential stout. A bitter coffee taste lays the foundation while a gentle sweetness oversees. While there are ""better crafted"" beers out there, nothing is better-rounded than Sam Smith's Imperial Stout. Realizing the bottle was clear after perceiving it as amber ranks way up there in terms of the coolest moments of my life. If I was an old man, I'd want Samuel Smith to marry my daughter.",5.0,5.0,5.0,4.5,0.0,,,1.0
86montess,Guinness Draught,754,2025-02-04 00:00:00,Irish Dry Stout,"I'm giving this beer a second chance because I think the first review I wrote for it was unfair. I will stand by my belief that Guinness is entirely overrated, but that's just because John Q. Beer Drinker gets tickled pink at the sight of an opaque brew. The fact is, Guinness is not a bad beer. I've come to expect more from a stout but it's got a decent flavor and a robust yet refreshing mouthfeel. HOWEVER, the only reason it should be so famous is because the brewery has such an interesting history.",4.5,3.0,3.5,3.0,Bass Pale Ale,811,5,English Pale Ale,"Ok, so it's my favorite beer. I've had some of the world's best, but Bass' flavor is second to none. The only complaint I have is that it is a little too watered down. If it was a little stronger, it would be too good to be true. Perfect color. Perfect ""roasted"" flavor, even if you have to concentrate on it. They say it's not the same beer Napoleon cherished, but so what, I love it to death.",5.0,4.5,5.0,4.5,0.0,,,-1.0
99bottles,Blanche,1636,5,Witbier,"Tried a bottle of this local brew recently and found myself somewhat disappointed. Now, this is partially my fault since I disturbed the sediment, but I was very turned off by the overwhelming yeast taste of the beer. It pours a beautiful hazy golden-yellow with a good one inch head that dissapates moderately. Slight lacing around the glass. Spice flavors of corrinander and perhaps nutmeg are present, as well as the citrus notes of banana and orange. Nice motuhfeel, closer to the real belgain wits than most U.S. micros. I would like to try this on tap or pour with less disturbance, but overall a very nice and refreshing white.",4.0,4.0,4.0,3.5,Hops Infusion,1483,2025-02-06 00:00:00,American IPA,"I recently had a few of these in a Weyerbacher sampler pack. The loud yellow label lets one know what they're in for when they crack one of these. I will not profess myself to be a hophead, but I do enjoy a full hop character and have had many good IPAs before. The smell of this beer is, as others have said, holycrap hoppy. When poured into a glass there is decent head that has moderate retention. Taste is overwhelmingly of bitter hops. I suppose there is a nice play of different flavors, but it somehow lacks coherence. I'd like to see the 7 types listed. Also, I assume it is still dry hopped 4 times, but my bottle lacked the 4X on previous bottlings. I dont know, I like it, but its almost too over the top. I agree that it has a ceratin rawness, or green feel to it. Perhaps this was their aim, and its good to have in a sampler but I'd rather have the pale ale they make just for its overall drinkability. I'd have it again, but not a full case.",3.0,4.0,3.5,4.0,0.0,,1.0,-1.0
