profileName,beerId,beerName,beerABV,beerStyle,reviewSentence,appearanceRate,aromaRate,palateRate,tasteRate,appearance,aroma,palate,taste
49degrees,3635,La Terrible,,Belgian Strong Dark Ale,its a multipurpose beer that works well as an afternoon sipping drink a hearty addition to a meal or as a replacement to coffee after a meal with friends or family,4.5,4.5,4.5,5.0,0,0.0,0,0
49degrees,5125,Propeller Extra Special Bitter (ESB),5.0,Extra Special / Strong Bitter (ESB),what else can be said about propeller extra special bitter that venom didnt already say in his review,4.5,4.0,4.0,4.0,0,0.0,0,0
49degrees,5125,Propeller Extra Special Bitter (ESB),5.0,Extra Special / Strong Bitter (ESB),pretty much spot on,4.5,4.0,4.0,4.0,0,0.0,0,0
49degrees,5125,Propeller Extra Special Bitter (ESB),5.0,Extra Special / Strong Bitter (ESB),a rich fullbodied brew from the east coast of canada that does an excellent job blending a traditionally strong hoppy taste with a very flavourful and malty complexity which sports a very pleasing aftertaste,4.5,4.0,4.0,4.0,1,0.0,0,1
49degrees,5125,Propeller Extra Special Bitter (ESB),5.0,Extra Special / Strong Bitter (ESB),ive grown quite fond of traditional english style bitters in recent years and while this one doesnt hail from england it does follow on the heels of some of the uks most recognized labels,4.5,4.0,4.0,4.0,0,0.0,0,0
49degrees,5125,Propeller Extra Special Bitter (ESB),5.0,Extra Special / Strong Bitter (ESB),nice full colour surprisingly long lasting head which coats the glass for long lengths of time,4.5,4.0,4.0,4.0,1,0.0,0,0
49degrees,5125,Propeller Extra Special Bitter (ESB),5.0,Extra Special / Strong Bitter (ESB),im just finishing off my bottle now after about 4560 minutes and the sides of my glass remain heavily coated,4.5,4.0,4.0,4.0,1,0.0,0,0
49degrees,5125,Propeller Extra Special Bitter (ESB),5.0,Extra Special / Strong Bitter (ESB),a great bitter beer that ive returned to on more than one occasion,4.5,4.0,4.0,4.0,0,0.0,0,0
49degrees,5125,Propeller Extra Special Bitter (ESB),5.0,Extra Special / Strong Bitter (ESB),best before date december 6 2002 hmmmm its december 23 and it still tastes great,4.5,4.0,4.0,4.0,0,0.0,0,1
86montess,645,Trappistes Rochefort 10,,Quadrupel (Quad),what else can be said i was told that this is the closest i can get to westvleteren 12 without actually having it and if so im really looking forward to it,4.5,5.0,4.5,5.0,0,0.0,0,0
86montess,645,Trappistes Rochefort 10,,Quadrupel (Quad),manly head and thick mouthfeel,4.5,5.0,4.5,5.0,1,0.0,1,0
86montess,645,Trappistes Rochefort 10,,Quadrupel (Quad),the flavor is inexplicable so ill let others try,4.5,5.0,4.5,5.0,0,0.0,0,1
86montess,645,Trappistes Rochefort 10,,Quadrupel (Quad),you pour it let the head settle a bit take a spicy sip stare down into it and say,4.5,5.0,4.5,5.0,1,0.0,0,0
86montess,645,Trappistes Rochefort 10,,Quadrupel (Quad),holy shit,4.5,5.0,4.5,5.0,0,0.0,0,0
86montess,645,Trappistes Rochefort 10,,Quadrupel (Quad),thank you belgium,4.5,5.0,4.5,5.0,0,0.0,0,0
86montess,754,Guinness Draught,,Irish Dry Stout,im giving this beer a second chance because i think the first review i wrote for it was unfair,4.5,3.0,3.5,3.0,0,0.0,0,0
86montess,754,Guinness Draught,,Irish Dry Stout,i will stand by my belief that guinness is entirely overrated but thats just because john q,4.5,3.0,3.5,3.0,0,0.0,0,0
86montess,754,Guinness Draught,,Irish Dry Stout,beer drinker gets tickled pink at the sight of an opaque brew,4.5,3.0,3.5,3.0,1,0.0,0,0
86montess,754,Guinness Draught,,Irish Dry Stout,the fact is guinness is not a bad beer,4.5,3.0,3.5,3.0,0,0.0,0,0
86montess,754,Guinness Draught,,Irish Dry Stout,ive come to expect more from a stout but its got a decent flavor and a robust yet refreshing mouthfeel,4.5,3.0,3.5,3.0,0,0.0,1,1
86montess,754,Guinness Draught,,Irish Dry Stout,however the only reason it should be so famous is because the brewery has such an interesting history,4.5,3.0,3.5,3.0,0,0.0,0,0
86montess,782,Samuel Smith's Imperial Stout,7.0,Russian Imperial Stout,im not exactly sure who samuel smith was but if he didnt achieve sainthood im perplexed,5.0,5.0,5.0,4.5,0,0.0,0,0
86montess,782,Samuel Smith's Imperial Stout,7.0,Russian Imperial Stout,this brewery cant go wrong and imperial stout is certainly its flagship,5.0,5.0,5.0,4.5,0,0.0,0,0
86montess,782,Samuel Smith's Imperial Stout,7.0,Russian Imperial Stout,this is everything imperial stouts aspire to be and its why i put all my faith in the english when it comes to beer,5.0,5.0,5.0,4.5,0,0.0,0,0
86montess,782,Samuel Smith's Imperial Stout,7.0,Russian Imperial Stout,this was the one that slapped me in the face and opened my eyes to all the others,5.0,5.0,5.0,4.5,0,0.0,0,0
86montess,782,Samuel Smith's Imperial Stout,7.0,Russian Imperial Stout,bold yet balanced taste with a perfect lace this is the quintessential stout,5.0,5.0,5.0,4.5,1,0.0,0,1
86montess,782,Samuel Smith's Imperial Stout,7.0,Russian Imperial Stout,a bitter coffee taste lays the foundation while a gentle sweetness oversees,5.0,5.0,5.0,4.5,0,0.0,0,1
86montess,782,Samuel Smith's Imperial Stout,7.0,Russian Imperial Stout,while there are better crafted beers out there nothing is betterrounded than sam smiths imperial stout,5.0,5.0,5.0,4.5,0,0.0,0,0
86montess,782,Samuel Smith's Imperial Stout,7.0,Russian Imperial Stout,realizing the bottle was clear after perceiving it as amber ranks way up there in terms of the coolest moments of my life,5.0,5.0,5.0,4.5,0,0.0,0,0
86montess,782,Samuel Smith's Imperial Stout,7.0,Russian Imperial Stout,if i was an old man id want samuel smith to marry my daughter,5.0,5.0,5.0,4.5,0,0.0,0,0
86montess,811,Bass Pale Ale,5.0,English Pale Ale,ok so its my favorite beer,5.0,4.5,5.0,4.5,0,0.0,0,0
86montess,811,Bass Pale Ale,5.0,English Pale Ale,ive had some of the worlds best but bass flavor is second to none,5.0,4.5,5.0,4.5,0,0.0,0,0
86montess,811,Bass Pale Ale,5.0,English Pale Ale,the only complaint i have is that it is a little too watered down,5.0,4.5,5.0,4.5,0,0.0,0,0
86montess,811,Bass Pale Ale,5.0,English Pale Ale,if it was a little stronger it would be too good to be true,5.0,4.5,5.0,4.5,0,0.0,0,0
86montess,811,Bass Pale Ale,5.0,English Pale Ale,perfect color,5.0,4.5,5.0,4.5,1,0.0,0,0
86montess,811,Bass Pale Ale,5.0,English Pale Ale,perfect roasted flavor even if you have to concentrate on it,5.0,4.5,5.0,4.5,0,0.0,0,1
86montess,811,Bass Pale Ale,5.0,English Pale Ale,they say its not the same beer napoleon cherished but so what i love it to death,5.0,4.5,5.0,4.5,0,0.0,0,0
86montess,2392,World Wide Stout,18.0,American Double / Imperial Stout,easily the most complex flavor ive tasted in a beer,4.0,5.0,4.0,5.0,0,0.0,0,1
86montess,2392,World Wide Stout,18.0,American Double / Imperial Stout,spicy nutty fruity and of course ultraalcoholic,4.0,5.0,4.0,5.0,0,0.0,0,1
86montess,2392,World Wide Stout,18.0,American Double / Imperial Stout,im not sure how to rate its drinkability while it is one of the tastiest brews ive had the alcohol content deters you quite a bit,4.0,5.0,4.0,5.0,0,0.0,0,0
86montess,2392,World Wide Stout,18.0,American Double / Imperial Stout,i just couldnt get into that wine drinking state of mind,4.0,5.0,4.0,5.0,0,0.0,0,0
86montess,2392,World Wide Stout,18.0,American Double / Imperial Stout,a perfect after dinner drink or perhaps it should be had as the main course,4.0,5.0,4.0,5.0,0,0.0,0,0
86montess,2392,World Wide Stout,18.0,American Double / Imperial Stout,either way it is a truly amazing drink,4.0,5.0,4.0,5.0,0,0.0,0,0
86montess,2392,World Wide Stout,18.0,American Double / Imperial Stout,it belongs in the louvre,4.0,5.0,4.0,5.0,0,0.0,0,0
99bottles,246,Heineken Lager Beer,5.0,Euro Pale Lager,ah heineken,1.5,1.5,1.5,1.5,0,0.0,0,0
99bottles,246,Heineken Lager Beer,5.0,Euro Pale Lager,you suck,1.5,1.5,1.5,1.5,0,0.0,0,0
99bottles,246,Heineken Lager Beer,5.0,Euro Pale Lager,first of all heineken could be a very drinkable beer perfect for throwing back with the guys except,1.5,1.5,1.5,1.5,0,0.0,0,0
99bottles,246,Heineken Lager Beer,5.0,Euro Pale Lager,ah yes we forget that heineken lager beer imported from holland is more about advertising and overpricing than taste,1.5,1.5,1.5,1.5,0,0.0,0,0
99bottles,246,Heineken Lager Beer,5.0,Euro Pale Lager,thats why all across the country there are 20 something buttcracks throwing away 5 to get a bottle not a draft mind you that they can hold label outwards to show all the women at the bar that they know and can taste a good beer and that they have money to buy such luxuries,1.5,1.5,1.5,1.5,0,0.0,0,0
99bottles,246,Heineken Lager Beer,5.0,Euro Pale Lager,whew okbeer,1.5,1.5,1.5,1.5,0,0.0,0,0
99bottles,246,Heineken Lager Beer,5.0,Euro Pale Lager,pours a very pale yellow with a head that dies faster than that on my urine,1.5,1.5,1.5,1.5,1,0.0,0,0
99bottles,246,Heineken Lager Beer,5.0,Euro Pale Lager,taste is always skunky corn somewhat less when taken from a can,1.5,1.5,1.5,1.5,0,0.0,0,1
99bottles,246,Heineken Lager Beer,5.0,Euro Pale Lager,very light hop taste comes through,1.5,1.5,1.5,1.5,0,0.0,0,1
99bottles,246,Heineken Lager Beer,5.0,Euro Pale Lager,mouthfeel is very thin following in the macropisswater fashion,1.5,1.5,1.5,1.5,0,0.0,1,0
99bottles,246,Heineken Lager Beer,5.0,Euro Pale Lager,drinkability is fine as there is nothing intersting going on,1.5,1.5,1.5,1.5,0,0.0,0,0
99bottles,246,Heineken Lager Beer,5.0,Euro Pale Lager,i apologize for this review but the sad fact is that to the majority of bar frequenters around the country heineken is a good beer and something to splurge on,1.5,1.5,1.5,1.5,0,0.0,0,0
99bottles,246,Heineken Lager Beer,5.0,Euro Pale Lager,i know better you know better and i even suspect the people who routinely show them off know better,1.5,1.5,1.5,1.5,0,0.0,0,0
99bottles,246,Heineken Lager Beer,5.0,Euro Pale Lager,like most beers ill drink them for free but youll never catch me buying a heniehole,1.5,1.5,1.5,1.5,0,0.0,0,0
99bottles,1015,Whirlwind Witbier,5.0,Witbier,had a pint of this on tap at a local bar and must say i was very pleased with it,4.0,4.0,4.0,4.5,0,0.0,0,0
99bottles,1015,Whirlwind Witbier,5.0,Witbier,i had bought a case of whirlwind bottles in may and found them to be satisfactory but having a freshly pulled pint was much better,4.0,4.0,4.0,4.5,0,0.0,0,0
99bottles,1015,Whirlwind Witbier,5.0,Witbier,the beer pours a deep golden color with a very thin fluffy white head,4.0,4.0,4.0,4.5,1,0.0,0,0
99bottles,1015,Whirlwind Witbier,5.0,Witbier,seems to have less haze clouds than other witbiers but definitely unfiltered,4.0,4.0,4.0,4.5,1,0.0,0,0
99bottles,1015,Whirlwind Witbier,5.0,Witbier,spice is present but not oeverwhelming,4.0,4.0,4.0,4.5,0,1.0,0,1
99bottles,1015,Whirlwind Witbier,5.0,Witbier,i tasted good floral notes and a prescence of orange complexed by some spice,4.0,4.0,4.0,4.5,0,0.0,0,1
99bottles,1015,Whirlwind Witbier,5.0,Witbier,i assume it to be the typical corrianderclove mix but it felt restrained somehow,4.0,4.0,4.0,4.5,0,0.0,0,1
99bottles,1015,Whirlwind Witbier,5.0,Witbier,some sweetness perhaps vanilla also,4.0,4.0,4.0,4.5,0,0.0,0,1
99bottles,1015,Whirlwind Witbier,5.0,Witbier,because of the complexity i found it to be incredibly drinkable and very refreshing,4.0,4.0,4.0,4.5,0,0.0,1,0
99bottles,1015,Whirlwind Witbier,5.0,Witbier,a nice switch from say hoegaarden if only for its unique spice character,4.0,4.0,4.0,4.5,0,0.0,0,0
99bottles,1015,Whirlwind Witbier,5.0,Witbier,a great summer beer,4.0,4.0,4.0,4.5,0,0.0,0,0
99bottles,1483,Hops Infusion,,American IPA,i recently had a few of these in a weyerbacher sampler pack,3.0,4.0,3.5,4.0,0,0.0,0,0
99bottles,1483,Hops Infusion,,American IPA,the loud yellow label lets one know what theyre in for when they crack one of these,3.0,4.0,3.5,4.0,0,0.0,0,0
99bottles,1483,Hops Infusion,,American IPA,i will not profess myself to be a hophead but i do enjoy a full hop character and have had many good ipas before,3.0,4.0,3.5,4.0,0,0.0,0,0
99bottles,1483,Hops Infusion,,American IPA,the smell of this beer is as others have said holycrap hoppy,3.0,4.0,3.5,4.0,0,1.0,0,0
99bottles,1483,Hops Infusion,,American IPA,when poured into a glass there is decent head that has moderate retention,3.0,4.0,3.5,4.0,1,0.0,0,0
99bottles,1483,Hops Infusion,,American IPA,taste is overwhelmingly of bitter hops,3.0,4.0,3.5,4.0,0,0.0,0,1
99bottles,1483,Hops Infusion,,American IPA,i suppose there is a nice play of different flavors but it somehow lacks coherence,3.0,4.0,3.5,4.0,0,0.0,0,1
99bottles,1483,Hops Infusion,,American IPA,id like to see the 7 types listed,3.0,4.0,3.5,4.0,0,0.0,0,0
99bottles,1483,Hops Infusion,,American IPA,also i assume it is still dry hopped 4 times but my bottle lacked the 4x on previous bottlings,3.0,4.0,3.5,4.0,0,0.0,0,0
99bottles,1483,Hops Infusion,,American IPA,i dont know i like it but its almost too over the top,3.0,4.0,3.5,4.0,0,0.0,0,0
99bottles,1483,Hops Infusion,,American IPA,i agree that it has a ceratin rawness or green feel to it,3.0,4.0,3.5,4.0,0,0.0,1,1
99bottles,1483,Hops Infusion,,American IPA,perhaps this was their aim and its good to have in a sampler but id rather have the pale ale they make just for its overall drinkability,3.0,4.0,3.5,4.0,0,0.0,0,0
99bottles,1483,Hops Infusion,,American IPA,id have it again but not a full case,3.0,4.0,3.5,4.0,0,0.0,0,0
99bottles,1636,Blanche,5.0,Witbier,tried a bottle of this local brew recently and found myself somewhat disappointed,4.0,4.0,4.0,3.5,0,0.0,0,0
99bottles,1636,Blanche,5.0,Witbier,now this is partially my fault since i disturbed the sediment but i was very turned off by the overwhelming yeast taste of the beer,4.0,4.0,4.0,3.5,0,0.0,0,1
99bottles,1636,Blanche,5.0,Witbier,it pours a beautiful hazy goldenyellow with a good one inch head that dissapates moderately,4.0,4.0,4.0,3.5,1,0.0,0,0
99bottles,1636,Blanche,5.0,Witbier,slight lacing around the glass,4.0,4.0,4.0,3.5,1,0.0,0,0
99bottles,1636,Blanche,5.0,Witbier,spice flavors of corrinander and perhaps nutmeg are present as well as the citrus notes of banana and orange,4.0,4.0,4.0,3.5,0,0.0,1,1
99bottles,1636,Blanche,5.0,Witbier,nice motuhfeel closer to the real belgain wits than most us micros,4.0,4.0,4.0,3.5,0,0.0,1,0
99bottles,1636,Blanche,5.0,Witbier,i would like to try this on tap or pour with less disturbance but overall a very nice and refreshing white,4.0,4.0,4.0,3.5,0,0.0,0,0
99bottles,9312,Zomerbier,,Witbier,i recently tried this while out eating with some friends at the brew works in north bethlehem,4.0,4.0,4.0,4.0,0,0.0,0,0
99bottles,9312,Zomerbier,,Witbier,i had it almost 2 weeks ago and the memory is fading but i can remember the beer pouring a beauiful light brown almost orange color with a decent 12 head that remained for the entire time i drank it,4.0,4.0,4.0,4.0,1,0.0,0,0
99bottles,9312,Zomerbier,,Witbier,this may have been complemented by the slice of orange that garnished the pint,4.0,4.0,4.0,4.0,0,0.0,0,0
99bottles,9312,Zomerbier,,Witbier,even without the orange slice aromas of orange and floral hops abound,4.0,4.0,4.0,4.0,0,1.0,0,0
99bottles,9312,Zomerbier,,Witbier,first sip was wonderfully refreshing with a sweetnes to it that was complexed by the hops and very light yeast taste,4.0,4.0,4.0,4.0,0,0.0,1,1
99bottles,9312,Zomerbier,,Witbier,it was definitely darker and had more character than a wit but the smooth refreshing taste and corrinader notes remained,4.0,4.0,4.0,4.0,1,0.0,1,1
99bottles,9312,Zomerbier,,Witbier,the beer was wonderful and i plan on returning for more before the summer ends,4.0,4.0,4.0,4.0,0,0.0,0,0
99bottles,9312,Zomerbier,,Witbier,update stopped in for another pint and ended up getting a growler of this wonderful beer,4.0,4.0,4.0,4.0,0,0.0,0,0
99bottles,9312,Zomerbier,,Witbier,word of caution its substantially more to get your growler filled with a seasonal than with one of the 3 flagship beers,4.0,4.0,4.0,4.0,0,0.0,0,0
99bottles,9312,Zomerbier,,Witbier,i was taken back when it cost me 15 for a fill rather than 8,4.0,4.0,4.0,4.0,0,0.0,0,0
99bottles,9312,Zomerbier,,Witbier,still great beer but ill think twice before getting another to go,4.0,4.0,4.0,4.0,0,0.0,0,0
aaronh,833,Samuel Adams Pale Ale,5.25,English Pale Ale,this pale ale was not quite what i expected but it is good,3.0,3.0,3.0,3.5,0,0.0,0,0
aaronh,833,Samuel Adams Pale Ale,5.25,English Pale Ale,i was under the impression it was an apa so i expected a nice bitterness and a stronger aroma,3.0,3.0,3.0,3.5,0,1.0,0,0
aaronh,833,Samuel Adams Pale Ale,5.25,English Pale Ale,it has a nice head and a smooth flavor but is just an average pale ale,3.0,3.0,3.0,3.5,1,0.0,0,1
aaronh,833,Samuel Adams Pale Ale,5.25,English Pale Ale,perhaps ive been spoiled by my recent sierra nevadas and burning rivers,3.0,3.0,3.0,3.5,0,0.0,0,0
aaronh,833,Samuel Adams Pale Ale,5.25,English Pale Ale,i agree with some of the previous posts an average beer from a company that could do more,3.0,3.0,3.0,3.5,0,0.0,0,0
aaronh,833,Samuel Adams Pale Ale,5.25,English Pale Ale,perhaps the bitterness is subdued to appeal to the mass market,3.0,3.0,3.0,3.5,0,0.0,0,1
aaronh,1193,Samuel Adams Boston Ale (Stock Ale),4.94,American Pale Ale (APA),i was very impressed with this offering from boston beer,4.5,5.0,4.0,4.5,0,0.0,0,0
aaronh,1193,Samuel Adams Boston Ale (Stock Ale),4.94,American Pale Ale (APA),having just experienced a poor case of double bock and a slightly dissapointing weiss this beer was truly a treat,4.5,5.0,4.0,4.5,0,0.0,0,0
aaronh,1193,Samuel Adams Boston Ale (Stock Ale),4.94,American Pale Ale (APA),i love the way the malt flavors play off the bitterness of the hops,4.5,5.0,4.0,4.5,0,0.0,0,1
aaronh,1193,Samuel Adams Boston Ale (Stock Ale),4.94,American Pale Ale (APA),wonderful inviting color and aroma with a nice thick head that slowly dissipates but leaves a reminder that it was there,4.5,5.0,4.0,4.5,1,1.0,0,0
aaronh,1193,Samuel Adams Boston Ale (Stock Ale),4.94,American Pale Ale (APA),very good ale,4.5,5.0,4.0,4.5,0,0.0,0,0
aaronh,1193,Samuel Adams Boston Ale (Stock Ale),4.94,American Pale Ale (APA),it would be easy to drink too many of these,4.5,5.0,4.0,4.5,0,0.0,0,0
aaronh,1487,Wild Goose Oatmeal Stout,,Oatmeal Stout,this is a very dark brown stout with a nice creamy head,3.5,4.0,4.0,4.0,1,0.0,0,0
aaronh,1487,Wild Goose Oatmeal Stout,,Oatmeal Stout,head retention is not as good as many stouts,3.5,4.0,4.0,4.0,1,0.0,0,0
aaronh,1487,Wild Goose Oatmeal Stout,,Oatmeal Stout,the aromas are faint but pleasing,3.5,4.0,4.0,4.0,0,1.0,0,0
aaronh,1487,Wild Goose Oatmeal Stout,,Oatmeal Stout,the mouth feel is somewhat creamy but it doesnt linger around very long,3.5,4.0,4.0,4.0,0,0.0,1,0
aaronh,1487,Wild Goose Oatmeal Stout,,Oatmeal Stout,it has a very smooth taste presenting more sweetness at cooler temps more roasted flavor as it warms,3.5,4.0,4.0,4.0,0,0.0,0,1
aaronh,1487,Wild Goose Oatmeal Stout,,Oatmeal Stout,very low bitterness,3.5,4.0,4.0,4.0,0,0.0,0,0
aaronh,1487,Wild Goose Oatmeal Stout,,Oatmeal Stout,it is a very drinkable stout that doesnt feel too heavy for the summer heat,3.5,4.0,4.0,4.0,0,0.0,0,0
aaronh,1487,Wild Goose Oatmeal Stout,,Oatmeal Stout,my favorite wild goose offering,3.5,4.0,4.0,4.0,0,0.0,0,0
aaronh,1998,Our Special Ale 2001 (Anchor Christmas Ale),5.0,Winter Warmer,this was my first experience with either anchor brewing or their special ale,5.0,4.0,5.0,5.0,0,0.0,0,0
aaronh,1998,Our Special Ale 2001 (Anchor Christmas Ale),5.0,Winter Warmer,a couple of friends and i bought a case back in december,5.0,4.0,5.0,5.0,0,0.0,0,0
aaronh,1998,Our Special Ale 2001 (Anchor Christmas Ale),5.0,Winter Warmer,i remember being impressed then but the flavor was dominated by clove nutmeg and alcohol,5.0,4.0,5.0,5.0,0,0.0,0,0
aaronh,1998,Our Special Ale 2001 (Anchor Christmas Ale),5.0,Winter Warmer,the color was great and the head was nice and dense but the flavors were overwhelming and competed with each other too much,5.0,4.0,5.0,5.0,1,0.0,0,0
aaronh,1998,Our Special Ale 2001 (Anchor Christmas Ale),5.0,Winter Warmer,one of those friends recently moved away and chose not to transport his beer,5.0,4.0,5.0,5.0,0,0.0,0,0
aaronh,1998,Our Special Ale 2001 (Anchor Christmas Ale),5.0,Winter Warmer,i was the lucky recipient of a bottle of the special ale among other things,5.0,4.0,5.0,5.0,0,0.0,0,0
aaronh,1998,Our Special Ale 2001 (Anchor Christmas Ale),5.0,Winter Warmer,it has aged wonderfully,5.0,4.0,5.0,5.0,0,0.0,0,0
aaronh,1998,Our Special Ale 2001 (Anchor Christmas Ale),5.0,Winter Warmer,the clove and nutmeg are still there but a sweetness has emerged with strong chocolate notes as well,5.0,4.0,5.0,5.0,0,1.0,0,1
aaronh,1998,Our Special Ale 2001 (Anchor Christmas Ale),5.0,Winter Warmer,the head is more dense and creamy and lasts as long as the beer,5.0,4.0,5.0,5.0,1,0.0,0,0
aaronh,1998,Our Special Ale 2001 (Anchor Christmas Ale),5.0,Winter Warmer,the alcohol is not noticable at all,5.0,4.0,5.0,5.0,0,0.0,0,0
